Cap,CarbonEmissions,TotalCost
9000,94076.17815983969,86128.6836450689
9000,100396.3368780825,101390.85727550449
9000,94662.54371460619,87694.6187635178
9000,100654.04879069439,105961.08564886759
9000,79867.51161136877,71598.30676045254
9000,94121.1088132884,86086.49462043295
9000,101890.47768395298,136814.4443331054
9000,95636.3058640635,86557.40491945238
9000,85833.68767797775,74613.23084744679
9000,98822.93136692612,121217.39372026433
9000,84671.55733878972,75445.20659504946
9000,95108.58359629371,91534.99705231602
9000,91615.76821447682,84425.41659025113
9000,87882.63598111049,75542.10541599554
9000,96765.11158412842,96655.16936649034
9000,101881.7401864533,118162.84571329587
9000,88275.77563755488,80152.22968819675
9000,93638.88306798865,107959.06517994263
9000,100363.65386162767,112233.38629999962
9000,87550.04202383224,75733.16640396403
9000,91984.80607203768,84735.12616778455
9000,91393.38872333097,82127.37699284121
9000,92712.35166068672,86098.70421890412
9000,93207.24316981455,83093.5627387999
9000,91659.95625434828,88622.25943649396
9000,92550.19839204704,94374.6552175052
9000,93922.47704606813,84550.18726875175
9000,89236.36964392236,77944.43259895856
9000,98925.46021074672,96763.74266858365
9000,96458.71130082909,105274.16353152967
9000,100199.33468956791,96344.49205316411
9000,100878.53810645199,109542.5302029329
9000,101060.79699475643,105957.95573652652
9000,90687.13308098333,81065.36381910536
9000,89185.36339584479,81729.15013841314
9000,95732.44432890658,92320.87664921221
9000,87406.24933053507,85416.77617841575
9000,91447.5318337708,89603.1059864592
9000,102725.64696857404,118034.39501614826
9000,99587.63265038912,110294.8696155107
9000,97328.18246219217,87508.99394813634
9000,97251.1219059439,113499.84924995416
11000,84607.17425075205,76783.95063956235
11000,95867.56391463528,96857.2688433752
11000,91421.24461482232,85927.32326843122
11000,86718.52170710552,86268.54385156013
11000,91410.83377118436,87045.49705322256
11000,98382.7947280463,96490.79067402332
11000,100157.52005374533,102633.63068561546
11000,83552.30926805592,69901.27800780942
11000,89431.17111919852,85590.34381849416
11000,90472.93076525358,89707.08813362714
11000,91303.04228142396,84630.72807837254
11000,98696.9112882613,99824.46377910567
11000,94541.9718894856,91157.51613534598
11000,86870.94859816048,76423.03669261087
11000,91652.15368374114,82732.55324672321
11000,99816.50191203719,100241.83033425853
11000,96085.69317512405,88852.97898708271
11000,95486.39046335423,97413.33392013276
11000,99500.15821203579,97465.35714347269
11000,88155.97292461268,77253.05437579622
11000,96288.96162604613,89311.54444837295
11000,99198.46393247631,99659.2605486477
11000,94801.64749539309,89311.08092068054
11000,91121.62858444231,82210.1701063689
11000,100363.11142836156,102988.9393255497
11000,96410.59145870543,98167.33477344015
11000,97392.81011816829,97131.730012348
11000,102636.7183324836,115572.93954564992
11000,98470.99629470024,101832.53267502047
11000,106397.84775973114,131964.06887974424
11000,95605.39645389045,91199.02183709099
11000,96694.20323595985,91461.34569321135
11000,93993.47573649352,88526.43494358027
11000,102657.940240724,114432.7897074317
11000,92513.44306115054,88271.39476502601
11000,90288.28525483678,82939.54313787194
11000,90612.52648285084,82946.20167345654
11000,92163.4232415531,86581.80434333949
11000,99307.4424019375,93856.8838910415
11000,91140.75170339651,79233.71566826779
11000,96798.19553231294,92959.05552638054
11000,92316.75420345442,84589.25044258026
11000,80147.83255985788,70028.24188121539
11000,92323.4887426163,84129.941185237
11000,78730.98474881968,66403.21480326947
11000,103134.28651815919,114163.76026579505
11000,88506.46065803284,77679.65219270985
11000,84187.57432510433,73757.52201570124
11000,94820.35218319851,93994.17532308832
11000,94780.84937551762,96715.88910041025
11000,88573.56437445499,80490.09690548529
11000,96027.86081258216,91726.87231333154
11000,101878.2407654649,100829.00169667357
11000,87695.77711758295,75041.67242458471
11000,93365.5390798392,92595.35468602431
11000,82236.14782480952,72312.66729874705
11000,80822.05838271392,70355.26252708671
11000,85341.56800595169,84767.6466874596
11000,94030.6538082087,85513.02566927522
11000,99478.58965299673,100261.47607214704
11000,94437.2406570058,86347.6645740011
11000,98819.46550784825,104110.60488308787
11000,75501.87630391339,66729.87872691255
11000,91384.02263887135,82276.7292751457
11000,102624.49867277329,138061.0684790786
11000,91702.8121352493,84328.54227075548
11000,80766.04311427106,69479.95183861374
11000,98307.02476508684,117917.31736824223
11000,79567.93707050562,72391.19917896131
11000,95277.02070370252,91095.55780488733
11000,91602.22229322924,83122.3597159589
11000,86019.12993636026,73218.30802714992
11000,96843.20866811603,94426.77599042546
11000,103122.43002201681,115011.43591824913
11000,86281.23302369093,76255.00604481364
11000,93044.10087347831,104580.98306396519
11000,100908.42104439715,108422.20320241345
11000,85668.2141164562,73603.09065236001
11000,90124.39599280167,81549.36911436924
11000,89366.27617702646,80872.70608076917
11000,91821.12603552616,85191.08626950652
11000,92057.27296303866,80893.81605255672
11000,91444.27594833469,87360.62930517005
11000,92261.72327388985,93993.85422702208
11000,91862.43685427592,82057.80945753405
11000,87110.27217061326,75374.82673047655
11000,98112.468415832,93977.12837933602
11000,96559.16063426588,102627.14792538929
