Cap,CarbonEmissions,TotalCost
9000,90600.28892990142,82005.21553228285
9000,92953.38921699549,82104.095331637
9000,96332.66302371545,86823.82960195474
9000,91799.46226396791,79004.37088701865
9000,94971.3563431297,85983.32455601703
9000,92010.39141967507,82202.64334647328
9000,85816.28411608485,72814.94647223456
9000,92666.12877903726,82026.13038137768
9000,85862.21573309723,70865.97072141324
9000,98455.00287807803,93068.5672571504
9000,90839.84113393463,78342.6618097387
9000,88150.53627691652,76143.15003854001
9000,93666.80190830125,86169.76575044406
9000,93486.72831792344,87084.69826879977
9000,91067.83436123801,78668.26078891942
9000,94865.55506035066,85343.27163576733
9000,97040.07238519128,89823.74180522966
9000,89616.91922371543,76779.38091919
9000,92602.33971247888,84122.0193983514
9000,87246.8699904773,74826.62171501931
9000,86236.16112151045,74244.33914578073
9000,89275.75179266691,79772.95909815203
9000,93128.47573341652,82521.20005118495
9000,96367.41147475159,89150.93547437957
9000,93177.78662972493,81698.37784375981
9000,96152.18973523642,91008.20467849397
9000,82887.56954055728,70637.10651340125
9000,92418.10077313066,80307.32779654147
9000,97335.99019520372,96208.68657579811
9000,92178.7238935,81394.68383119302
9000,86287.6825647889,74048.36185867133
9000,94942.68707974181,93044.5332576818
9000,85581.35053485414,74665.20075146719
9000,93070.66712758197,85098.58033707149
9000,92618.40975497336,81315.76231050842
9000,89808.18197349671,75933.81916337286
9000,94465.72155168123,87166.01957148738
9000,98227.23801147514,94841.79792175618
9000,89959.0392526373,77027.0091374348
9000,92646.9252290782,87373.58631428832
9000,96812.8019444267,93880.91386146187
9000,89000.2904907065,75740.51805768732
9000,91232.74629255418,79390.55950648975
9000,91298.64264568892,79593.07116226514
9000,91953.03714200002,82323.85606500003
9000,91980.1752762881,80855.39224778808
9000,91849.27393772817,81800.65688586437
9000,91988.45392010472,83627.30812916711
9000,92620.89204222789,80631.60506711865
9000,89517.530740308,77508.13188603042
9000,94621.92351483146,86539.90989425089
9000,94543.54052260799,87787.6574461859
9000,96250.72632035069,87220.22284613227
9000,96301.7553439932,90257.74491798876
9000,96991.7202332584,91886.49226132342
9000,90110.79413393693,78252.56231394435
9000,88671.92004497332,78477.6212003635
9000,93856.92715349999,83192.46954078083
9000,87176.38089502807,78297.38372657602
9000,90922.57659896037,82581.27643193357
9000,98061.50935000001,89638.75776051612
9000,94763.69103555473,90205.1025409358
9000,94232.3081798799,83340.55554810185
9000,94405.01000895293,89550.29920315903
