cap,total_cost,total_carbon,backorder,optimality,pareto_optimal
7995,82835.36072863983,93245.19657330026,153.32073066037378,OPTIMAL,false
7990,82851.4685414562,93243.428560412,152.60899671563251,OPTIMAL,false
7985,82867.57635427255,93241.66054752376,151.89726277089125,OPTIMAL,false
7980,82883.81305956484,93239.66378104148,151.18552882614998,OPTIMAL,false
7975,82900.67009834033,93243.09508999695,151.2355343249123,OPTIMAL,false
7970,82917.82511280692,93250.77795231984,151.84326688224064,OPTIMAL,false
7965,82934.9801272735,93258.46081464272,152.45099943956885,OPTIMAL,false
7960,82953.03983861257,93260.28388880324,152.2900335629007,OPTIMAL,false
7955,82974.14607358465,93252.97988061677,151.27545218422648,OPTIMAL,false
7950,82998.69322793097,93246.87432832479,151.69364547584175,OPTIMAL,false
7945,83024.78243651704,93240.7687760328,151.2933726537629,OPTIMAL,false
7940,83051.42868066863,93234.66322374085,151.7099412105673,OPTIMAL,false
7935,83078.15817131335,93220.35862764473,152.1265097673717,OPTIMAL,false
7930,83105.18881682465,93202.14904463911,152.54307832417607,OPTIMAL,false
7925,83134.44433226803,93183.93946163349,152.95964688098044,OPTIMAL,false
7920,83166.2654212599,93165.68022109369,153.37621543778482,OPTIMAL,true
7915,83199.74068570705,93146.66971011792,153.7927839945892,OPTIMAL,true
7910,83233.21595015418,93127.65919914213,154.20935255139358,OPTIMAL,true
7905,83266.69121460135,93108.64868816637,154.62592110819796,OPTIMAL,true
7900,83300.48419245132,93089.63817719056,155.06476046203366,OPTIMAL,true
7895,83335.45504321397,93070.6276662148,155.53815565233853,OPTIMAL,true
7890,83370.42589397657,93051.61715523902,156.0115508426434,OPTIMAL,true
7885,83405.39674473919,93032.60664426323,156.48494603294827,OPTIMAL,true
7880,83440.36759550186,93013.59613328746,156.95834122325314,OPTIMAL,true
7875,83475.33844626445,92994.58562231166,157.431736413558,OPTIMAL,true
7870,83510.30929702708,92975.57511133586,157.90513160386286,OPTIMAL,true
7865,83545.28014778974,92956.5646003601,158.37852679416773,OPTIMAL,true
7860,83580.99272159778,92934.4999113678,158.8519219844726,OPTIMAL,true
7855,83617.05001629918,92904.11943492625,159.32531717477747,OPTIMAL,true
7850,83653.51256595111,92873.73895848465,159.8571941255828,OPTIMAL,true
7845,83697.8249167831,92843.35848204308,160.2721075553872,OPTIMAL,true
7840,83743.97784332378,92812.9780056015,160.74550274569208,OPTIMAL,true
7835,83790.58484268858,92782.59752915995,161.21889793599692,OPTIMAL,true
7830,83837.19184205342,92752.21705271833,161.6922931263018,OPTIMAL,true
7825,83883.79884141822,92721.8365762768,162.16568831660666,OPTIMAL,true
7820,83930.40584078297,92691.45609983518,162.63908350691153,OPTIMAL,true
7815,83977.0128401478,92661.07562339361,163.1124786972164,OPTIMAL,true
7810,84023.67993794501,92611.487,163.58587388752127,OPTIMAL,true
7805,84072.56831778011,92561.48699999996,164.05926907782614,OPTIMAL,true
7800,84121.81508637597,92511.48700000001,164.532664268131,OPTIMAL,true
